Activity ID,Activity Name,Summary Description,EAA Coverage,EAA Feature Description,Centra Coverage,Centra Feature Description
3.3.3,Enhanced Application Usage & Monitoring,Monitor application usage and behavior to detect anomalies and improve security.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.3.4,Application Asset Discovery & Inventory Pt2,Expand application discovery and inventory capabilities with automation.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.4.1,Software Asset Management & Scanning,Implement software asset management and vulnerability scanning capabilities.,Not Covered,Outside EAA core capabilities (Identity & Application Access),Not Covered,Outside Centra core capabilities (Network Security & Segmentation)
3.4.2,App Protection Tooling Pt1,Deploy application protection tools to secure applications against threats.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
3.4.3,App Protection Tooling Pt2,Enhance application protection with advanced security measures.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
3.4.4,App Protection Tooling Pt3,Integrate application protection tools with enterprise security systems.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
3.4.5,Managed Application Wrapper or Security Pt1,Implement managed application wrappers or security solutions.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.4.6,Application Asset Discovery & Inventory Pt3,Further enhance application discovery and inventory with comprehensive coverage.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.4.7,Software Asset Management & Scanning Pt2,Expand software asset management and scanning capabilities.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.5.1,Organizational Continuous Authorization to Operate (ATO),Establish organizational continuous ATO processes to maintain security compliance.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
3.5.2,Continuous Authorization to Operate (ATO),Implement continuous ATO capabilities for applications and systems.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.1.1,Inventory Data,Create and maintain an inventory of all data assets to support governance and security.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.2.1,Enterprise data dictionary (DAAS) & data structure,Develop enterprise data dictionary and Data as a Service (DAAS) structures.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
4.2.2,Standardized metadata tags & data formats,Establish standardized metadata tags and data formats for consistency.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.2.3,Implement DAAS Standards (central security),Implement DAAS standards with centralized security controls.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
4.3.1,Data Sensitivity Tagging Pt1,Implement data sensitivity tagging to classify and protect sensitive information.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.3.2,Data Sensitivity Tagging Pt2,Enhance data sensitivity tagging with automated classification capabilities.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.3.3,Data Sensitivity Tagging Pt3,Integrate data sensitivity tagging with enterprise security and compliance systems.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.3.4,Data Tagging & Search Support,Support data tagging and search capabilities for improved data discovery.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.3.5,Data Source Tagging,Implement data source tagging to track data lineage and improve governance.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.4.1,Enterprise SIEM Data Integration Pt1,Integrate enterprise data with Security Information and Event Management (SIEM) systems.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
4.4.2,Enterprise SIEM Data Integration Pt2,Enhance SIEM data integration with advanced analytics and monitoring.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
4.4.3,Enterprise SIEM Data Integration Pt3,Fully integrate enterprise data with SIEM for comprehensive security monitoring.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
4.4.4,Enhanced User & Component Analytics,Implement enhanced analytics for users and components to support decision-making.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.4.5,Comprehensive Data Activity Logging,Implement comprehensive logging of all data activity to ensure visibility support compliance and enable effective monitoring across the environment.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
4.4.6,Data Activity Analysis Tools,Deploy tools to analyze logged data activity identify trends and anomalies and support security investigations and compliance reporting.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
4.5.1,Governance & Analytics Pt1,Establish governance and analytics capabilities for data management and compliance.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.5.2,Governance & Analytics Pt2,Enhance governance and analytics with automated reporting and monitoring.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.5.3,Governance & Analytics Pt3,Integrate governance and analytics across all data management activities.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
4.5.4,Governance & Analytics Pt4,Apply advanced analytics to governance for improved oversight and control.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.5.5,Governance & Analytics Pt5,Continuously improve governance and analytics based on performance metrics.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.6.1,Enrich Attributes for Resource Decisions Pt1,Enrich data attributes to support better resource access decisions.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.6.2,Enrich Attributes for Resource Decisions Pt2,Enhance attribute enrichment with additional data sources and analytics.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.6.3,Enrich Attributes for Resource Decisions Pt3,Integrate enriched attributes with access control and policy enforcement systems.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.6.4,User/Entity/Data Behavior Analytics Pt1,Implement behavior analytics for users entities and data to detect anomalies.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
4.7.1,Integrate DAAS Access w/SDS Policy Pt1,Integrate Data as a Service (DAAS) access with software-defined storage (SDS) policies to reduce risk.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
4.7.2,Integrate DAAS Access w/SDS Policy Pt2,Automate DAAS and SDS integration to support advanced data protection.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
4.7.3,Integrate DAAS Access w/SDS Policy Pt3,Continuously measure and adjust DAAS and SDS integration for optimal data protection.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
4.7.4,Integrate Solution(s) and Policy with Enterprise IDP Pt1,Integrate DLP DRM and storage solutions with the enterprise identity provider (IdP).,Not Covered,Outside EAA core capabilities (Identity & Application Access),Not Covered,Outside Centra core capabilities (Network Security & Segmentation)
4.7.5,Integrate Solution(s) and Policy with Enterprise IDP Pt2,Enhance integration of data protection solutions with enterprise IdP for seamless access control.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
4.7.6,Implement SDS Tool and/or integrate with DRM Tool Pt1,Implement software-defined storage tools and integrate them with digital rights management (DRM).,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
4.7.7,Implement SDS Tool and/or integrate with DRM Tool Pt2,Enhance SDS and DRM integration for comprehensive data protection and access control.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
5.1.1,Define Granular Control Access Rules & Policies Pt1,Define granular access control rules and policies for network resources.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
5.1.2,Define Granular Control Access Rules & Policies Pt2,Enhance granular access control with advanced rules and policy enforcement.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
5.2.1,Network Traffic Analysis Pt1,Analyze network traffic to identify patterns and detect potential threats.,Partial,Application-level access controls complement network segmentation,Full,Core Centra capability: Network micro-segmentation with real-time traffic analysis and breach detection
5.2.2,Network Traffic Analysis Pt2,Enhance network traffic analysis with machine learning and behavioral analytics.,Partial,Application-level access controls complement network segmentation,Full,Core Centra capability: Network micro-segmentation with real-time traffic analysis and breach detection
5.2.3,Network Traffic Analysis Pt3,Integrate network traffic analysis with enterprise security systems for comprehensive monitoring.,Partial,Application-level access controls complement network segmentation,Full,Core Centra capability: Network micro-segmentation with real-time traffic analysis and breach detection
5.2.4,Network Traffic Analysis Pt4,Apply advanced analytics to network traffic for improved threat detection and response.,Partial,Application-level access controls complement network segmentation,Full,Core Centra capability: Network micro-segmentation with real-time traffic analysis and breach detection
5.2.5,Network Traffic Analysis Pt5,Continuously improve network traffic analysis based on emerging threats and patterns.,Partial,Application-level access controls complement network segmentation,Full,Core Centra capability: Network micro-segmentation with real-time traffic analysis and breach detection
5.3.1,SDN/SDP Network Infrastructure Pt1,Implement software-defined networking (SDN) and software-defined perimeter (SDP) infrastructure.,Partial,Application-level access controls complement network segmentation,Full,Core Centra capability: Network micro-segmentation with real-time traffic analysis and breach detection
5.3.2,SDN/SDP Network Infrastructure Pt2,Enhance SDN/SDP infrastructure with advanced security and management capabilities.,Partial,Application-level access controls complement network segmentation,Full,Core Centra capability: Network micro-segmentation with real-time traffic analysis and breach detection
5.4.1,ZTNA (VPN Replacement) Pt1,Implement Zero Trust Network Access (ZTNA) as a replacement for traditional VPN solutions.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
5.4.2,ZTNA (VPN Replacement) Pt2,Enhance ZTNA capabilities with advanced security features and user experience improvements.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
5.4.3,ZTNA (VPN Replacement) Pt3,Fully deploy ZTNA across the enterprise to replace legacy VPN infrastructure.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
5.4.4,ZTNA (VPN Replacement) Pt4,Optimize ZTNA performance and security based on usage patterns and feedback.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
6.1.1,Enterprise Infrastructure Asset Inventory and Tagging,Create and maintain an inventory of all infrastructure assets with proper tagging.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
6.1.2,Enhance Infrastructure & Environment Attributes,Enhance infrastructure and environment attributes to support better decision-making.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.1.3,Infrastructure & Environment Usage Analytics,Analyze infrastructure and environment usage to optimize performance and security.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.1.4,Infrastructure & Environment Baseline & Profiling,Establish infrastructure and environment baselines for behavioral analysis.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
6.2.1,Implement/Migrate to Remote Browser Isolation (RBI),Implement or migrate to remote browser isolation to secure web browsing.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.2.2,Implement/Migrate to Virtual Desktop Infrastructure (VDI),Implement or migrate to virtual desktop infrastructure for secure remote access.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.2.3,Implement/Migrate to Desktop as a Service (DaaS),Implement or migrate to Desktop as a Service for scalable secure desktop delivery.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.3.1,Environment Service Delivery Model (Policy),Establish service delivery models and policies for environment management.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.4.1,Implement Conditional Access & JIT/JEA,Implement conditional access controls with just-in-time and just-enough-access principles.,Full,Core EAA capability: Identity-centric access controls with native MFA and adaptive authentication,Partial,Network-level visibility and policy enforcement to support identity decisions
6.4.2,Implement & Enhance Zero-Touch Provisioning,Implement and enhance zero-touch provisioning for infrastructure resources.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.5.1,Enhanced Environment Monitoring,Implement enhanced monitoring capabilities for infrastructure environments.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.5.2,Enhanced Environment Behavior Analytics,Apply behavior analytics to infrastructure environments for anomaly detection.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
6.5.3,Infrastructure Baseline & Profiling Support,Support infrastructure baseline establishment and profiling activities.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
6.6.1,Implement Software Defined Infrastructure (SDI) Pt1,Implement software-defined infrastructure to improve flexibility and security.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.6.2,Implement Software Defined Infrastructure (SDI) Pt2,Enhance SDI implementation with advanced automation and management capabilities.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.6.3,Implement Software Defined Infrastructure (SDI) Pt3,Fully deploy and optimize software-defined infrastructure across the enterprise.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.7.1,Infrastructure Zero Trust,Implement Zero Trust principles for infrastructure to ensure secure access and operations.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.7.2,Infrastructure Zero Trust Pt2,Enhance infrastructure Zero Trust implementation with advanced security controls.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.7.3,Infrastructure Zero Trust Pt3,Integrate infrastructure Zero Trust with enterprise security and compliance systems.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
6.7.4,Infrastructure Zero Trust Pt4,Continuously improve infrastructure Zero Trust based on threat landscape and best practices.,Partial,Application access controls for infrastructure and virtual environments,Partial,Network segmentation and monitoring for infrastructure environments
7.1.1,Log Management,Implement comprehensive log management capabilities to support security monitoring and incident response.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
7.1.2,Log Parsing,Parse logs and correlate asset IDs and alerts at the enterprise level for better visibility.,Not Covered,Activity scope unclear or outside core EAA capabilities,Not Covered,Activity scope unclear or outside core Centra capabilities
7.1.3,Log Analysis,Analyze logs to identify trends patterns and potential security issues.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
